state,city,latitude,longitude,farm
Tripura,Agartala,23.8315,91.2868,Garden Fresh Plum
Tripura,Agartala,23.8315,91.2868,Queen Pineapple
Sikkim,Hathidunga,27.2672,88.2659,AZING'S MODEL FARM
Kerala,Kottarakkara,9.0056,76.7831,Green Grama World Tropical Fruit Farm
Kerala,Kadayirippu,9.9971,76.4621,Nechupadam paddy and Fruit Farm
Kerala,Kanthalloor,10.2135,77.1972,Kanthallor Little Flower Brother's Fruits Farm
Kerala,Chotty,9.5668,76.8505,Manjananickal Fruits Farm
Kerala,Chakkampuzha,9.7676,76.6557,Jack Fruit Paradise Farm 
Kerala,Muttil South,11.6251,76.1494,KEY FARM WAYANAD
Nagaland,Shitovi,25.7389,93.6689,Dream Dragon Fruit Farm
Mizoram,Lunglei,22.8671,92.7655,Centre of Excellence for Fruits
Meghalaya,Mawmyrsiang,25.4514,91.7247,Maple Pine Farm
Manipur,Potsangbam Khoiru,24.886,93.9037,Nilakuthi Dragon Fruit Farm
Manipur,Manipur,24.6637,93.9063,Kachai fruit farming
Manipur,Charangpat Mamang,24.6448,94.045,Queen's Fresh Strawberry farm
Goa,Saligao,15.5462,73.7891,Fresh Organic Avocados
Assam,Guwahati,26.1445,91.7362,Assam dragon fruits farm
Assam,Dhupdhara,25.9592,91.055,Husnara Nursery (Fruit)
Arunachal Pradesh,Shannan,29.2371,91.7731,Litchi Fruit Farm
Tamil Nadu,Tamil Nadu,11.1271,78.6569,KARTHIKEYAA FRUIT FARM
Tamil Nadu,Ooty,11.4102,76.695,Prakash Strawberry Farm
Tamil Nadu,Kil Pennathur,12.2477,79.2217,Sona Fruit Farm
Tamil Nadu,Tamil Nadu,11.1271,78.6569,Venkatasami gova fruit Farm 
Tamil Nadu,Uthamapalayam,9.8086,77.3281,Sri Kelaa Fruits
Tamil Nadu,Kodumudi,11.0788,77.8867,Aswin's Fruit forest
Tamil Nadu,Thiruvannamalai ,12.2253,79.0747,Raja Mango Farm
Tamil Nadu,Chennai,13.0827,80.2707,Skyline Mango Farms
Gujarat,Kharua,23.1378,69.1149,Vasupujya Dragon Fruit Farm
Gujarat,Kalavad,22.2082,70.3807,Gujarat Dragon Fruit Farm | GDF
Gujarat,Kalyanpar,22.6474,70.725,Bhagwati Dragon Fruit Farm 
Gujarat,Gujarat,22.2587,71.1924,Limani Dragon Fruit Farm
Gujarat,Mithi Rohar,23.1065,70.1677,SINGHVIS FARM (DRAGON FRUIT)
Gujarat,Morbi,22.8252,70.8491,ZEEL FRUIT FARM
Gujarat,Surat,21.1702,72.8311,Apple Farm
Gujarat,Gandevi,20.8077,72.9992,Patel dragon fruit farm
Gujarat,Jasdan,22.0356,71.2018,Krishna Fruit Farm
Gujarat,Daljitpura,23.8623,73.0365,PATIDAR DRAGON FRUIT FARM
Karnataka,Tajapur H,16.7852,75.5393,DRAGON FRUIT FARMING.
Karnataka,Yalagalahalli,13.6061,77.7967,sakkath Mango Farm
Karnataka,Bengaluru,12.9716,77.5946,Blue Jamoon Farm
